Folder,segment_id,speaker,speaker_segment_id,start_time,end_time,duration,video_file,audio_file,transcript,Emotion Audio (final),Text Emotion (final),Video Emotion (final),Final Overall (majority of modalities),Audio Clarity (final),Speaker Gender (any),Speaker Identity (any)
videoplayback (1),3,SPEAKER_00,0,126.9815938,140.9372188,13.955625,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,أنا مش مصدقة إن إنت خايف منها قوي كدا إنت لازم تفهم أن خوفك ورعبك ده بيجرحني بيعذبني زي ما يكون هي اللي غالية عندك وأنا واحدة رخيصة ممكن ترميني في أي لحظة مع أني أنا أم ابنك ليه مميزها عني اوي كدا؟,Anger,Sadness,Anger,Anger,Clear,Female,
videoplayback (1),4,SPEAKER_00,1,152.1422188,166.7728438,14.630625,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,كل ده بقى عشان انت شايفني ضعيفة ومقدرش أعيش من غيرك فهرضى بأي وضع انت تحطيني فيه لكن هي الهانم طبعاً الوضع مختلف لازم تفضل فاهمة مفيش في القلب غيرها انما أنا حيالله حتة واحدة عرفت تجيبلك عيل,,Anger,,Anger,Clear,Female,
videoplayback (10),0,SPEAKER_01,0,0.03096875,29.32596875,29.295,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,كان قبلها مات الله ارحمه مصطفى المتولي وده كان صديق عمر وكان معايا لغاية قبل ما موت بدا ايه يعني ديوم سبت وراح البيت منزلش وانا عاديين وبعدها على طول وفات زوجتي الله ارحمه في الحادثة بتاعت البيت الحريقة فالحادثتين دول ورا بعض خلوني بسيط للدنيا انها مهياش مستمرة ده في لحظة تحصل وانت فجأة تبقى مش موجود طب انت عملت ايه وانت ماشي صح ولا غلط,,Sadness,,Sadness,Clear,Male,
videoplayback (10),1,SPEAKER_01,1,37.39221875,75.15846875,37.76625,videos/SPEAKER_01/SPEAKER_01_segment_0001.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0001.wav,أهم جزء فيها علاقتك بربنا يعني هل أنت كنت مقصر كنت مقصر مكنش بصلي يعني مش في بالي حكاية الزكاة مكنش واخد بالي منها إن أنهي فلوس يفوت عليها حولي عشان تضل عليها زكاة أو في زكاة المال أو في زكاة الأفراد مكنش بصلي الحكاية دي على أساس إنها هي مكملة ومهياش مهمة قوي إنما الصلاة اللي إنها ظاهرية فكنت بعملها زي صلاة الجمعة هروح لمجرد إيه شاف إن أنت روح صلاة الجمعة لكن هل دم من جواك؟ هل أنت بتعمل واجباتك الحقيقية بقى؟ هل أنت بتقدي الفرد؟,,Sadness,,Sadness,Clear,Male,
videoplayback (10),13,SPEAKER_01,10,291.1078438,305.9747188,14.866875,videos/SPEAKER_01/SPEAKER_01_segment_0010.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0010.wav,انا منزلت منزلت ابص على المكتبة وهي بتولع المكتبة دي كان فيها كل شغلي الجرايد اللي كتبت عني طول الفترة اللي فاتت والافلام والعمال بتاعتي الشرايط وكدا فلاقيت الجزء اللي بيولع اوي بتاعتي هو الجزء في المكتبة اللي فيه الكتب دي,,Sadness,,Sadness,Clear,Male,
videoplayback (10),14,SPEAKER_01,11,307.6115938,318.1753438,10.56375,videos/SPEAKER_01/SPEAKER_01_segment_0011.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0011.wav,فساعتها جاتني إشارة في مخي كده زي ما تكون شرارة ولاعت إن خد بالك من دي شوف إيه اللي بيقولها دلوقتي هو ده نفعك في حاجة,,,Surprise,Surprise,Clear,Male,
videoplayback (10),15,SPEAKER_01,12,319.3228438,334.8984688,15.575625,videos/SPEAKER_01/SPEAKER_01_segment_0012.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0012.wav,فالشرانة دي لفتت نظري فقصت لها جامد ففضلت في الناجة طول الوقت طول الحريقة وانا بطفي وكده وانا اقول ايه يا رب انا راضي باللي يحصل خلاص انا غلط لان انا كنت ماشي في اتجاه غلط,,Fear,Surprise,Fear,Clear,Male,
videoplayback (10),16,SPEAKER_01,13,340.7372188,370.6397188,29.9025,videos/SPEAKER_01/SPEAKER_01_segment_0013.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0013.wav,فلما خلصت الحريقة والامور انتهت وزوجة توفت والعزة خلص والاحزان راحت وكده بدأت ابصر الحكاية دي بقى انا ماشي صح ولا ماشي غلط انا فين طب هل اللي احنا بنعمله التمثيل وتشبيه الحالات اللي في الدنيا بعمال الناس تتفرج عليها وتطلع منها بعزة هل دا دور سليم ولا دي فلوس حرام وده غلط دا تضيع وقت ولا في فايدة للناس,,,Sadness,Sadness,Clear,Male,
videoplayback (10),17,SPEAKER_01,14,372.6815938,380.6972188,8.015625,videos/SPEAKER_01/SPEAKER_01_segment_0014.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0014.wav,طبعا إلا أن ربنا أكرمني وداني في سكتي ناس وعيهم متفتح أكتر مني ومتطلعين أكتر مني ومتبحرين في الدين أكتر مني,,Happiness,,Happiness,Clear,Male,
videoplayback (10),3,SPEAKER_00,1,89.95784375,120.8222188,30.864375,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,قالوا محمود الجندي اتجه لاتجاه اخر قالوا اتجه الالحد قالوا ان محمود الجندي مكتبته اصبحت مليئة بكتب الالحد قالوا ان محمود الجندي ابتعد عن طريق الدين واتجه اتجه اخر وان الحريق اللي حصل في بيته وفت زوجته كانت هي رسالة من الله سبحانه وتعالى عشان يعود إلى,,Sadness,,Sadness,Clear,Male,
