sample_id,folder,segment_id,speaker,speaker_segment_id,start_time_sec,end_time_sec,duration_sec,video_relpath,audio_relpath,transcript,emotion_audio,emotion_text,emotion_video,emotion_final,audio_clarity,speaker_gender,speaker_identity,video_path,audio_path,video_exists,audio_exists,split,elig_text,elig_audio,elig_video,elig_multimodal
videoplayback (1)::videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,videoplayback (1),3,SPEAKER_00,0,126.9815938,140.9372188,13.955625,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,أنا مش مصدقة إن إنت خايف منها قوي كدا إنت لازم تفهم أن خوفك ورعبك ده بيجرحني بيعذبني زي ما يكون هي اللي غالية عندك وأنا واحدة رخيصة ممكن ترميني في أي لحظة مع أني أنا أم ابنك ليه مميزها عني اوي كدا؟,Anger,Sadness,Anger,Anger,Clear,Female,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (1)\videos\SPEAKER_00\SPEAKER_00_segment_0000.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (1)\audios\SPEAKER_00\SPEAKER_00_segment_0000.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,videoplayback (10),0,SPEAKER_01,0,0.03096875,29.32596875,29.295,videos/SPEAKER_01/SPEAKER_01_segment_0000.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0000.wav,كان قبلها مات الله ارحمه مصطفى المتولي وده كان صديق عمر وكان معايا لغاية قبل ما موت بدا ايه يعني ديوم سبت وراح البيت منزلش وانا عاديين وبعدها على طول وفات زوجتي الله ارحمه في الحادثة بتاعت البيت الحريقة فالحادثتين دول ورا بعض خلوني بسيط للدنيا انها مهياش مستمرة ده في لحظة تحصل وانت فجأة تبقى مش موجود طب انت عملت ايه وانت ماشي صح ولا غلط,,Sadness,,Sadness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0000.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0000.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0001.mp4,videoplayback (10),1,SPEAKER_01,1,37.39221875,75.15846875,37.76625,videos/SPEAKER_01/SPEAKER_01_segment_0001.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0001.wav,أهم جزء فيها علاقتك بربنا يعني هل أنت كنت مقصر كنت مقصر مكنش بصلي يعني مش في بالي حكاية الزكاة مكنش واخد بالي منها إن أنهي فلوس يفوت عليها حولي عشان تضل عليها زكاة أو في زكاة المال أو في زكاة الأفراد مكنش بصلي الحكاية دي على أساس إنها هي مكملة ومهياش مهمة قوي إنما الصلاة اللي إنها ظاهرية فكنت بعملها زي صلاة الجمعة هروح لمجرد إيه شاف إن أنت روح صلاة الجمعة لكن هل دم من جواك؟ هل أنت بتعمل واجباتك الحقيقية بقى؟ هل أنت بتقدي الفرد؟,,Sadness,,Sadness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0001.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0001.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0010.mp4,videoplayback (10),13,SPEAKER_01,10,291.1078438,305.9747188,14.866875,videos/SPEAKER_01/SPEAKER_01_segment_0010.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0010.wav,انا منزلت منزلت ابص على المكتبة وهي بتولع المكتبة دي كان فيها كل شغلي الجرايد اللي كتبت عني طول الفترة اللي فاتت والافلام والعمال بتاعتي الشرايط وكدا فلاقيت الجزء اللي بيولع اوي بتاعتي هو الجزء في المكتبة اللي فيه الكتب دي,,Sadness,,Sadness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0010.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0010.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0013.mp4,videoplayback (10),16,SPEAKER_01,13,340.7372188,370.6397188,29.9025,videos/SPEAKER_01/SPEAKER_01_segment_0013.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0013.wav,فلما خلصت الحريقة والامور انتهت وزوجة توفت والعزة خلص والاحزان راحت وكده بدأت ابصر الحكاية دي بقى انا ماشي صح ولا ماشي غلط انا فين طب هل اللي احنا بنعمله التمثيل وتشبيه الحالات اللي في الدنيا بعمال الناس تتفرج عليها وتطلع منها بعزة هل دا دور سليم ولا دي فلوس حرام وده غلط دا تضيع وقت ولا في فايدة للناس,,,Sadness,Sadness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0013.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0013.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0014.mp4,videoplayback (10),17,SPEAKER_01,14,372.6815938,380.6972188,8.015625,videos/SPEAKER_01/SPEAKER_01_segment_0014.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0014.wav,طبعا إلا أن ربنا أكرمني وداني في سكتي ناس وعيهم متفتح أكتر مني ومتطلعين أكتر مني ومتبحرين في الدين أكتر مني,,Happiness,,Happiness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0014.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0014.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0003.mp4,videoplayback (10),6,SPEAKER_01,3,156.7659688,187.6472188,30.88125,videos/SPEAKER_01/SPEAKER_01_segment_0003.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0003.wav,كان عندي احساس بان البلد ما عاودتنيش بعد ما خرجت من الحرب ودتني مثلا فرصة زي الزمال اللي ما دخلوش الجيش محدش واقف جنبي خالص فانت اللي بتعمل ده بنفسك فكانت لحظة الغرور دي خلت اتجاه اتجاهات بقى ايه اكبر شوية في التفكير الاتجاه للتفكير العلمي والارتباط بالعلم وما فيش حاجة تثبت يبقى اسدق ليه وما فيش حاجة تتاخد كده وخلاص فترة تمرد كده,,Anger,Sadness,Anger,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0003.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0003.wav,1,1,train,1,1,1,1
videoplayback (10)::videos/SPEAKER_01/SPEAKER_01_segment_0005.mp4,videoplayback (10),8,SPEAKER_01,5,226.3753438,240.9722188,14.596875,videos/SPEAKER_01/SPEAKER_01_segment_0005.mp4,audios/SPEAKER_01/SPEAKER_01_segment_0005.wav,من نوع ده من التفكير خلّى ناس تانية تتجق للإلحاد إلا إن المادة لا تفنى ولا تخلق من عدم طب يعني إيه الإنسان يجي كده من لا شيء لازم حاجة هي العملية وليها الجاوية فهي مش وراء التفكير العلمي ده,,,Anger,Anger,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\videos\SPEAKER_01\SPEAKER_01_segment_0005.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (10)\audios\SPEAKER_01\SPEAKER_01_segment_0005.wav,1,1,train,1,1,1,1
videoplayback (100)::videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,videoplayback (100),1,SPEAKER_00,0,185.6222188,192.8109688,7.18875,videos/SPEAKER_00/SPEAKER_00_segment_0000.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0000.wav,انت مبقتش عيل صغير ومش فاهم كل اللي بيحصل حواليه انا بتكلم معاك بحس ان انا بتكلم مع راجل كبير فاهم زي وزي كده,,Happiness,,Happiness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (100)\videos\SPEAKER_00\SPEAKER_00_segment_0000.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (100)\audios\SPEAKER_00\SPEAKER_00_segment_0000.wav,1,1,train,1,1,1,1
videoplayback (100)::videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,videoplayback (100),2,SPEAKER_00,1,200.8772188,210.2259688,9.34875,videos/SPEAKER_00/SPEAKER_00_segment_0001.mp4,audios/SPEAKER_00/SPEAKER_00_segment_0001.wav,بيقولك إيه ابوك لسه حاسه بالدنيا هو  مببقاش موجود طول الوقت لكن لسه موجود مفروض بقى الوقت اللي هو مش موجود فيه تبقى أنت راجل البيت صح ولا مش صح؟,,Sadness,,Sadness,Clear,Male,,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (100)\videos\SPEAKER_00\SPEAKER_00_segment_0001.mp4,C:\Users\Emad\Desktop\Thesis Project\dataset\Final Modalink Dataset MERGED\videoplayback (100)\audios\SPEAKER_00\SPEAKER_00_segment_0001.wav,1,1,train,1,1,1,1
